父亲职业重新编码,父亲工作,母亲工作,母亲职业重新编码
国企,中铁六局太原铁路建设公司,鑫智点交通设施有限公司,民企
民企,凯信会议服务有限公司,长城国际旅行社有限责任公司,民企
民企,银光聚银化工有限公司,九亩花田蛋糕店,个体
民企,元拓科技咨询有限公司,中国平安财险股份有限公司,上市民企
事业单位,市广播电视大学,市实验中学,事业单位
公务员,"市经济合作局
","县住房保障中心
",事业单位
个体,区建豪汽修中心,家庭主妇,家庭主妇
个体,区建豪汽修中心,家庭主妇,家庭主妇
国企,陕西省水利水电第三工程局,二十一冶,国企
民企,渭源陇原恒新畜牧科技有限公司,XX路街道诚信社区,公务员
公务员,市民政局,矿冶职业技术学院,事业单位
个体,北京路九洋菜市场刘伟鲜面店,北京路九洋菜市场刘伟鲜面店,个体
事业单位,市第一人民医院,公路应急保障与路网监测中心,事业单位
公务员,市农业农村局,市委编办,公务员
个体,老姐饺子馆,,无
民企,大市场清华电动工具,家庭主妇,家庭主妇
公务员,市统计局,个体,个体
民企,盛泰房地产公司,家庭主妇,家庭主妇
民企,盛泰房地产公司,家庭主妇,家庭主妇
民企,县瑞金路锦辉消防工程有限公司,家庭主妇,家庭主妇
公务员,市农业综合行政执法队,宏信房地资产评估公司,民企
民企,大禹工程咨询有限公司,纺织路街道办,公务员
公务员,市中级人民法院,农行XXX县支行,国企
家庭主妇,家庭父亲,白银区公园路街道办事处,公务员
公务员,市旅游局,大自然旅行社,个体
个体,陇风巢浴,凤巢浴足,个体
公务员,XXX镇政府,美年大健康有限公司,民企
公务员,市团委,区应急管理局,公务员
个体,万盛体能拓展中心鑫多米便利店,北门流觞烟酒,民企
公务员,市公安局,区人民法院,公务员
家庭主妇,家庭父母,家庭父母,家庭主妇
公务员,公安局,市给排水（集团）有限公司,民企
公务员,西区管委会,市人社局,公务员
公务员,市住建局,市科学技术局,公务员
公务员,XXX建设局,区住建局 ,公务员
民企,银中源工贸有限公司,家庭主妇,家庭主妇
国企,广东省中海油,家庭主妇,家庭主妇
个体,娟红杂粮食府,娟红杂粮食府,个体
公务员,市政管理处,区妇幼保健站,事业单位
国企,中国兵器工业公司三冶炼,无,无
民企,万民工程建设有限公司,新疆省和田市个体药店,个体
公务员,市公安局,省第三人民医院,事业单位
公务员,省监狱局,区人民法院,公务员
家庭主妇,家庭主妇,家庭主妇,家庭主妇
民企,江苏路之久工程建设有限公司,家庭主妇,家庭主妇
公务员,市财政局,市教育局,公务员
公务员,市财政局,泰安学校教职工,事业单位
民企,瑞禾农资,市委统战部,公务员
公务员,市纪委,市公安局交警支队,公务员
公务员,市委办,市审计局,公务员
个体,第十一中学北侧校园书店,顶新文化公司,民企
民企,长通公司,市育才学校,事业单位
公务员,市住建局,区融媒体中心,事业单位
